country,period,year,population,attendances_type1,breaches_4hr_type1,waits_12hr,pct_4hr_type1,attendances_per_100k,breaches_4hr_per_100k,waits_12hr_per_100k
England,2019-04-01,2019,56230056,1330825.0,304221.0,442.0,77.14042041590743,2366.7502660854543,541.0291606325272,0.7860564819640229
England,2019-05-01,2019,56230056,1369332.0,253619.0,414.0,81.47863337744243,2435.2314356578268,451.0381423059582,0.7362610487174333
England,2019-06-01,2019,56230056,1334137.0,250465.0,461.0,81.22644076283021,2372.640354475194,445.42904243239593,0.8198462402384945
England,2019-07-01,2019,56230056,1415918.0,264384.0,452.0,81.32773225568147,2518.0803661301707,470.18270798094176,0.8038405652663765
England,2019-08-01,2019,56230056,1324070.0,254243.0,369.0,80.7983716872975,2354.7371178147146,452.14786910402506,0.6562326738568427
England,2019-09-01,2019,56230056,1342510.0,273446.0,455.0,79.631734586707,2387.5309674242544,486.29864426953446,0.8091757902570824
England,2019-10-01,2019,56230056,1376347.0,311503.0,724.0,77.36740807369071,2447.706970094428,553.9795300933009,1.2875676310903905
England,2019-11-01,2019,56230056,1366383.0,347294.0,1107.0,74.58296831854612,2429.986909491963,617.6305426407542,1.968698021570528
England,2019-12-01,2019,56230056,1373654.0,381159.0,2355.0,72.25218286409823,2442.917716461104,677.8563407441742,4.18815161770424
England,2020-01-01,2020,56325961,1327234.0,338870.0,2847.0,74.46795365399016,2356.34506085036,601.6231130082273,5.054507636363275
England,2020-02-01,2020,56325961,1237255.0,296195.0,1620.0,76.06031093024478,2196.5981192935174,525.858759870959,2.876116041766247
England,2020-03-01,2020,56325961,1013021.0,212557.0,1173.0,79.01751296369966,1798.4974992259786,377.3695046232766,2.0825210598714863
England,2020-04-01,2020,56325961,689720.0,77357.0,251.0,88.78428927680798,1224.5152816833431,137.3380917548837,0.4456204484464988
England,2020-05-01,2020,56325961,924218.0,71894.0,93.0,92.22109935101892,1640.8384048698256,127.63918932514973,0.16511036536065493
England,2020-06-01,2020,56325961,1016132.0,89368.0,159.0,91.20507965500545,1804.0207072543335,158.66218421022592,0.28228546335853905
England,2020-07-01,2020,56325961,1120421.0,111270.0,271.0,90.06891159662305,1989.1733405134446,197.54656294279647,0.4811280539004031
England,2020-08-01,2020,56325961,1179019.0,162951.0,335.0,86.17910313574251,2093.2070737328386,289.29999081595787,0.5947523913528968
England,2020-09-01,2020,56325961,1163948.0,188521.0,345.0,83.80331423740579,2066.4503176430494,334.6964643887745,0.612506194079849
England,2020-10-01,2020,56325961,1111958.0,218178.0,1268.0,80.37893517560914,1974.148297265625,387.3489171360964,2.2511821857775316
England,2020-11-01,2020,56325961,1036350.0,210250.0,2148.0,79.71245235682926,1839.9153456076851,373.2737023341688,3.8135168257493204
England,2020-12-01,2020,56325961,1039474.0,255051.0,3744.0,75.4634555554059,1845.461633579585,452.8125139311871,6.647023740970881
England,2021-01-01,2021,56554891,941194.0,247232.0,3824.0,73.7320892398379,1664.2132684863632,437.1540562247746,6.761572575570873
England,2021-02-01,2021,56554891,903771.0,179397.0,1021.0,80.1501707844133,1598.0421569550897,317.2086389486631,1.8053257321281018
England,2021-03-01,2021,56554891,1161079.0,203015.0,688.0,82.51497098819289,2053.012532550014,358.96983693240605,1.216517241629906
England,2021-04-01,2021,56554891,1259266.0,234255.0,526.0,81.39749663692977,2226.626163951054,414.2082070319966,0.930069867874027
England,2021-05-01,2021,56554891,1396116.0,289681.0,695.0,79.25093616862782,2468.6034670281656,512.2121091171407,1.2288945972860243
England,2021-06-01,2021,56554891,1436111.0,337587.0,1288.0,76.49297303620682,2539.3223726662295,596.9191948402836,2.2774334407257544
England,2021-07-01,2021,56554891,1430733.0,405163.0,2202.0,71.68143881492914,2529.8130271350005,716.4066499571187,3.893562450681763
England,2021-08-01,2021,56554891,1341757.0,397235.0,2787.0,70.39441568033556,2372.486227583747,702.3884105797322,4.927955744800215
England,2021-09-01,2021,56554891,1392405.0,438530.0,5024.0,68.50557129570778,2462.041700336758,775.405967982504,8.88340497376257
England,2021-10-01,2021,56554891,1419010.0,472548.0,7058.0,66.69875476564647,2509.084492798333,835.5563800839083,12.479910888697496
England,2021-11-01,2021,56554891,1336830.0,445743.0,10644.0,66.65671775768048,2363.7743373955045,788.1599488893013,18.820653371960347
England,2021-12-01,2021,56554891,1250568.0,423880.0,12859.0,66.10500188714248,2211.2464154514946,749.5019307879137,22.73720234028919
