country,start_month,start_pct,current_month,current_pct,peak_month,peak_pct,trough_month,trough_pct,average_pct,change_pct_points
England,Apr 2019,77.1,Apr 2026,63.8,May 2020,92.2,Dec 2023,54.7,67.6,-13.3
Scotland,Apr 2019,88.2,Apr 2026,64.2,May 2020,95.4,Dec 2022,58.7,73.4,-24.0
